ID,buildingAreaCategory,buildingShape,censusRegion,climateZone,HDD65,HEATPC,HVACUpgrade,insulationUpgrade,MAINCL,MAINHT,MONUSEC,numEmployeesCategory,numFloors,OCCUPYP,OPNWE,OWNTYPE,region,RENWLL,lightingUpgrade,roofConstuction,STUSED,OPEN24,wallConstruction,WHOPPR,WINTYP,WKHRSC,WWR,yrConstructionCategory,EUI
567,4,0,5,2,3789,3,2,2,2,2,4,6,1,100,2,2,3,2,2,6,2,2,1,0,2,4,0,9,11.4826087
568,2,3,9,3,1338,3,2,2,2,2,4,3,1,100,2,10,4,2,2,4,2,2,4,0,2,3,1,8,29.53571429
570,2,2,7,3,806,3,2,2,2,2,4,3,1,100,1,2,3,2,2,5,2,2,1,0,2,5,3,9,113.0869697
573,7,4,5,2,4084,2,1,1,2,2,4,8,994,62,1,2,3,1,1,1,2,2,1,0,3,3,3,6,76.84183721
578,8,11,8,3,983,1,2,2,3,2,4,8,13,65,1,2,4,2,2,1,2,2,2,2,1,5,4,6,44.91284444
581,2,2,1,1,7930,3,1,1,6,2,4,2,2,100,1,2,1,2,1,4,2,2,4,0,2,4,3,3,33.769375
583,8,1,5,2,4087,3,1,1,2,2,4,8,994,95,2,1,3,1,1,1,2,2,1,0,2,4,4,9,85.79418966
586,8,4,9,5,2794,3,2,2,4,4,4,9,8,97,1,2,4,2,2,1,2,2,1,0,1,5,3,6,98.04610233
587,6,2,2,1,4261,3,2,2,2,2,4,7,1,100,2,2,1,2,2,6,2,2,3,0,2,3,3,6,54.42048718
596,6,9,5,2,2825,3,2,2,5,5,4,6,4,100,2,10,3,2,2,5,2,2,3,0,2,3,4,3,9.683416667
600,2,2,3,2,4245,1,2,2,1,1,4,2,2,100,2,9,2,2,2,1,2,2,1,0,3,3,1,3,73.04952381
603,6,0,2,2,3937,3,1,2,2,4,4,7,9,100,1,2,1,2,2,1,1,1,3,0,1,7,0,1,63.78977586
606,6,11,5,3,119,1,1,2,1,0,4,8,4,90,1,3,3,2,1,4,2,2,1,0,1,5,3,6,50.52876712
609,3,3,9,3,963,1,2,2,1,2,4,5,2,100,2,2,4,2,2,6,2,2,2,0,1,3,4,3,26.54043011
631,2,4,3,1,5721,3,1,2,1,1,4,2,1,100,2,3,2,2,2,4,2,2,1,0,2,3,2,6,46.708125
641,2,2,2,1,3981,3,2,2,2,2,4,4,2,100,1,3,1,2,2,4,2,2,1,2,1,6,2,2,60.50632653
653,2,2,5,2,2991,1,1,2,5,5,4,2,4,100,1,3,3,2,1,4,2,2,1,0,2,3,2,1,57.2965
658,7,2,2,1,4881,3,2,2,3,1,4,7,5,80,2,3,1,2,2,6,2,2,1,0,2,3,3,9,62.64614167
664,2,2,5,2,2697,2,2,2,1,1,4,2,2,100,2,2,3,2,2,5,2,2,3,0,1,3,3,8,21.74466667
665,3,2,7,2,2426,3,2,2,1,1,4,5,2,95,1,2,3,2,1,1,2,2,1,0,3,5,2,4,82.8487
666,5,2,9,5,1753,3,2,2,5,5,4,7,3,69,2,2,4,2,2,1,2,2,1,0,3,4,3,7,30.59570213
670,5,1,7,3,1563,3,2,2,2,2,4,6,3,100,2,5,3,2,1,6,2,2,1,0,1,4,5,6,69.6404
678,2,3,5,2,2847,1,2,2,2,1,4,2,1,100,2,2,3,2,2,4,2,2,1,0,2,2,1,7,36.77055556
683,7,0,2,1,5355,3,1,2,2,3,4,8,10,98,2,2,1,2,1,6,2,2,1,0,3,4,0,1,102.3970286
686,7,11,3,1,5190,3,1,2,2,2,4,8,4,50,1,2,2,1,1,6,2,2,1,0,2,4,5,7,62.80236275
695,7,3,5,3,73,1,2,2,2,0,4,7,2,100,1,2,3,2,2,7,2,2,3,2,1,6,3,7,36.52389706
697,8,2,4,1,6459,2,2,2,3,6,4,9,13,50,1,2,2,2,2,1,2,2,1,0,2,5,5,6,78.47436721
704,2,1,9,3,1166,3,2,2,5,5,4,5,1,100,1,10,4,2,2,5,2,2,4,0,1,5,2,7,48.565
707,9,0,5,2,3575,2,2,1,3,2,4,10,14,100,2,1,3,2,1,7,2,2,2,0,2,4,0,4,61.72335
708,4,2,3,1,5747,3,2,2,2,2,4,5,1,65,1,3,2,2,2,6,2,1,1,0,1,7,4,4,55.5663125
712,9,2,5,2,3307,3,1,2,3,5,4,9,994,92,1,2,3,2,1,6,2,2,1,0,2,5,5,6,49.398625
717,3,0,2,2,3655,2,1,1,6,3,4,2,3,100,1,3,1,2,1,4,2,2,1,0,1,2,0,1,51.41174603
725,6,2,3,1,4781,3,2,2,3,3,4,7,2,100,1,9,2,2,2,6,2,1,1,0,2,7,3,4,104.0522
728,2,2,7,3,2959,3,0,0,1,2,4,4,1,100,1,2,3,0,0,2,2,2,1,0,2,5,2,10,54.76133333
731,6,5,6,2,2196,3,2,1,4,4,4,6,4,39,2,9,3,2,1,5,2,2,1,0,1,3,3,1,61.88335088
733,8,1,9,3,938,3,2,2,4,4,4,9,10,91,2,8,4,2,1,4,1,2,2,0,3,4,4,5,36.98135625
744,8,2,2,2,3912,3,2,2,2,6,4,11,14,100,2,3,1,2,1,6,2,2,6,0,2,4,4,7,119.431416
