ID,buildingArea,PAC,Year Built,Number of Buildings,Occupancy,Metered Areas (Energy),ENERGY STAR Score,Site EUI,Weather Normalized Site EUI (kBtu/ft2),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Property GFA - Self-Reported (ft2),SourceEUI
7884,54369,Multifamily Housing,1937,1,100,Whole Building,64,97.5,103.8,747744.1,209564.9,63430,123.7
7885,69166,Multifamily Housing,1954,1,100,Whole Building,56,38.1,37.5,2475883.7,713058.8,69166,114.8
7886,65856,Multifamily Housing,1950,1,100,Whole Building,72,97.2,104.2,719961,201425.8,56611,125.4
7887,68040,Multifamily Housing,1940,1,100,Whole Building,98,57.8,61.8,757462,211193.5,79380,78.8
7889,56222,Multifamily Housing,1923,1,100,Whole Building,100,9.7,9.3,625208,176282.8,64655,30.4
7890,111270,Multifamily Housing,1931,1,100,Whole Building,24,102.4,110.8,1058700,296478.2,111355,123.8
7891,77000,Multifamily Housing,1923,1,100,Whole Building,27,107.5,112,1578076.4,442666.2,77000,155.7
7892,72533,Multifamily Housing,1924,1,100,Whole Building,77,72.5,76.4,1232204.5,348839.6,74709,108.4
7893,93000,Multifamily Housing,1929,1,100,Whole Building,81,73.6,77.8,1076107.6,305491.6,98580,100.1
7894,255200,Multifamily Housing,1929,1,100,Whole Building,93,63.3,Not Available,3100424.9,879729.3,255200,90
7895,73974,Multifamily Housing,1929,1,100,Whole Building,69,80.3,83.8,1098300.9,310538,73974,115.3
7896,72000,Multifamily Housing,1923,1,100,Whole Building,100,20.6,Not Available,1050501.2,292189,79920,48.9
7897,61100,Multifamily Housing,1923,1,95,Whole Building,99,30.3,Not Available,1267213.7,360805.3,67821,70.7
7898,84300,Multifamily Housing,1923,1,100,Whole Building,57,88,Not Available,1277471.9,362810.2,98352,119.5
7899,57525,Multifamily Housing,1926,1,100,Whole Building,89,65.1,70.5,870578.6,247456.3,60400,96.7
7900,80170,Multifamily Housing,1923,1,100,Whole Building,100,18.1,17.6,1148179,323530,88187,46.2
7901,56250,Multifamily Housing,1922,1,100,Whole Building,1,195.8,209,1698479.1,484553.3,56250,265.6
7902,80889,Multifamily Housing,1933,1,100,Whole Building,42,87.3,86.9,1231197.3,352560.1,80889,123.4
7903,60600,Multifamily Housing,1925,1,100,Whole Building,19,133.4,143.4,998798.9,282027.7,66000,167
7904,56265,Multifamily Housing,1924,1,100,Whole Building,35,118.6,126.3,914903.9,257261.4,56265,154.7
7905,54200,Multifamily Housing,1923,1,100,Whole Building,39,95,100.4,842835.6,231485.3,56910,127.7
7906,53000,Multifamily Housing,1930,1,100,Whole Building,Not Available,75.3,79.9,727402.1,207217.2,55650,106.4
7907,50676,Multifamily Housing,2012,1,100,Whole Building,38,70.8,73.6,1489224.1,421775.4,50676,135.8
7908,66440,Multifamily Housing,1960,1,100,Whole Building,100,43.7,43.4,663905.9,188770.2,67000,65.2
7909,60775,Multifamily Housing,1927,1,100,Whole Building,97,55.9,58.7,634050.7,178457.7,60775,80.5
7910,55800,Multifamily Housing,1937,1,100,Whole Building,76,72.8,77.6,714430.9,203141.5,65100,99.3
7911,106146,Multifamily Housing,1963,1,100,Whole Building,82,72.9,72.4,1424905.2,402644.8,107000,102
7912,54241,Multifamily Housing,1923,1,100,Whole Building,80,63.9,Not Available,762556.6,216193.1,54241,95.9
7913,50929,Multifamily Housing,1928,1,100,Whole Building,81,68.7,Not Available,667906.7,187005.3,56022,97.1
7914,50762,Multifamily Housing,1925,1,100,Whole Building,70,73.9,73.9,682799.2,200117,50762,105.8
7915,63836,Multifamily Housing,1927,1,100,Whole Building,20,113.7,122.7,935660.3,266640.6,63836,146.2
7916,61286,Multifamily Housing,1927,1,100,Whole Building,47,92.9,101.5,789887.2,225018.6,61286,121.4
7917,55650,K-12 School,1970,1,100,Whole Building,84,66.9,Not Available,544662.3,157250.1,55650,90.7
7918,67500,Multifamily Housing,1900,1,100,Whole Building,56,105.1,114.9,119621.3,35814.9,67500,114.1
7919,133400,Multifamily Housing,1956,1,100,Whole Building,25,100,106.6,3231767.8,928967.7,129000,157.3
7920,93000,Multifamily Housing,1963,1,100,Whole Building,66,69.9,73.8,1593115.4,456626.1,93000,109.2
7921,64876,Multifamily Housing,1929,1,100,Whole Building,39,98.4,103.2,895394.3,256342.1,66822,131.3
7922,86000,Multifamily Housing,1936,1,100,Whole Building,82,77.1,83.4,1097571.3,308026.9,100333,101.3
7923,81070,Multifamily Housing,1941,1,100,Whole Building,71,78.9,78.6,855089.7,241067.1,81060,102.3
7924,63763,Multifamily Housing,1939,1,100,Whole Building,Not Available,88.4,96.6,724612.9,203619.4,63763,116.2
7925,143577,Multifamily Housing,1956,1,100,Whole Building,15,102,101.7,3509363.3,1010413.6,150135,153
7926,77640,Multifamily Housing,1924,1,100,Whole Building,Not Available,82.5,88.4,1124247.1,312115.4,77640,114.2
7927,76890,Multifamily Housing,1965,1,100,Whole Building,6,163.2,162.6,993629.1,277093.1,77000,192.3
7928,74440,Multifamily Housing,1938,1,100,Whole Building,44,85.2,91.8,1166129.5,326834.2,78162,120.6
7929,82218,Multifamily Housing,1928,1,100,Whole Building,87,65.5,70.4,994181,284595.2,95921,90.5
7930,83215,Multifamily Housing,1936,1,100,Whole Building,71,73.7,76.8,1013696.7,282523.7,83215,102.7
7931,105846,Multifamily Housing,1925,1,100,Whole Building,73,79.9,Not Available,1440228.7,404330.7,105846,112.2
7932,93000,Multifamily Housing,1928,1,100,Whole Building,89,48,51.7,1204223.6,337833.8,93000,77.4
7933,73794,Multifamily Housing,1924,1,100,Whole Building,88,61.9,Not Available,1171928.8,333926.1,73794,96.6
7934,150000,Multifamily Housing,1922,1,100,Whole Building,100,14.5,14.1,2250166.2,627898.9,224000,36.2
7935,85314,Multifamily Housing,1926,1,100,Whole Building,84,70.6,74.7,1090773.9,310152.4,89580,99.6
7936,53575,Multifamily Housing,1936,1,100,Whole Building,37,110.4,Not Available,682456.7,193019.1,53575,142.3
7937,52758,Multifamily Housing,1932,1,100,Whole Building,77,79.1,83.8,705734.6,198182.7,52758,111
7938,53406,Multifamily Housing,1940,1,100,Whole Building,52,96.3,101.8,734286.3,209412.9,53406,129.8
