ID,PublicORResidential,city,principleActivity,ClimateZone,BuildingArea,numFloorAbove,numFloorBelow,WWR_South,WWR_North,WWR_East,WWR_West,ExWindowHTC_East,ExWindowHTC_West,ExWindowHTC_South,ExWindowHTC_North,SC_East,SC_West,SC_South,SC_North,RoofHTC,ExWallHTC,OverheadFloorHTC,FloorHTCOuter,exWinAirtightness,HeatingLoad,CoolingLoad
2221,1,suzhou,7,3,2393.16,5,1,0.02,0.02,0.23,2.772,1.351,2.5,2.5,2.5,0.69,0.692,0.65,0.65,0.44,0.41,0.86,0.81,4,13.09,20.95
2230,1,yancheng,7,3,44256.9,1,1,0.45,0.45,0.45,0.45,2.4,2.4,2.4,2.4,0.5,0.5,0.5,0.5,0.32,0.53,0.85,0.85,3,20.01,23.49
2231,0,suzhou,3,3,23559.33,2,2,0.63,0.32,0.17,0.29,2.75,2.75,2.75,2.75,0.34,0.34,0.34,0.34,0.42,0.58,0.65,1.49,1,69.45,76.29
2240,1,suqian,7,3,4715,2,6,0.38,0.24,0.06,0.05,3,3,3,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,25.36,38.48
2241,1,huaian,7,3,3106.48,6,1,0.23,0.06,0.08,0.08,3,3,3,3,0.86,0.86,0.86,0.86,0.81,1.24,0.75,1.41,4,22.57,35.18
2250,1,changzhou,7,3,10150.91,0,0,0.05,0.3,0.06,0.28,2.7,1.4,1.46,1.38,0.48,0.68,0.72,0.05,0.05,0.05,0.05,0.05,6,24.75,45.37
2251,0,suzhou,3,3,20737.76,5,1,0.4,0.57,0.66,0.18,2.7,2.7,2.7,2.7,0.36,0.36,0.36,0.36,0.57,0.66,0.31,0.31,6,86.83,85.2
2260,1,suzhou,7,3,1464.05,6,6,0.31,0.31,0.04,0.05,2.6,2.6,2.6,2.6,0.81,0.81,0.81,0.81,0.35,0.47,0.31,0.31,6,20.77,36.89
2261,0,wuxi,3,3,14454.8,5,5,0.43,0.39,0.43,0.47,2.3,2.3,2.3,2.3,0.4,0.4,0.4,0.4,0.42,0.8,0.42,0.42,6,33.13,60.01
2271,1,xuzhou,7,2,11683,32,2,0.07,0.45,0.07,0.07,1.93,1.93,1.93,1.93,0.5,0.5,0.5,0.5,0.39,0.34,0.57,0.38,6,13.41,24.97
2280,1,suqian,7,3,5247.4,9,0,0.06,0.06,0.25,0.83,3.2,3.2,3.2,3.2,0.96,0.96,0.96,0.96,0.96,1.1,0.96,0.96,6,2.05,3.15
